Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,2.300000,2.340000,2.080000,2.230000,2.230000,3194600
2016-01-12,2.170000,2.170000,2.000000,2.020000,2.020000,3557400
2016-01-13,2.020000,2.070000,1.960000,2.000000,2.000000,3061900
2016-01-14,1.950000,2.000000,1.770000,1.880000,1.880000,3134200
2016-01-15,1.940000,1.940000,1.790000,1.900000,1.900000,2090700
2016-01-19,1.930000,1.940000,1.690000,1.730000,1.730000,2703700
2016-01-20,1.750000,1.810000,1.620000,1.810000,1.810000,2636900
2016-01-21,1.790000,1.800000,1.680000,1.760000,1.760000,2207200
2016-01-22,1.780000,1.890000,1.720000,1.750000,1.750000,2599000
2016-01-25,1.830000,1.920000,1.770000,1.770000,1.770000,2391500
2016-01-26,1.780000,1.880000,1.780000,1.830000,1.830000,3465500
2016-01-27,1.830000,2.040000,1.810000,2.040000,2.040000,3009700
2016-01-28,2.050000,2.070000,1.930000,2.020000,2.020000,2280500
2016-01-29,2.030000,2.210000,2.020000,2.210000,2.210000,3573200
2016-02-01,2.240000,2.330000,2.130000,2.190000,2.190000,3155900
2016-02-02,2.150000,2.210000,2.010000,2.110000,2.110000,3378600
2016-02-03,2.150000,2.320000,2.120000,2.250000,2.250000,3829800
2016-02-04,2.360000,2.470000,2.350000,2.400000,2.400000,3850900
2016-02-05,2.330000,2.560000,2.240000,2.550000,2.550000,3344800
2016-02-08,2.650000,2.850000,2.600000,2.610000,2.610000,5129000
2016-02-09,2.640000,2.700000,2.450000,2.470000,2.470000,3123000
2016-02-10,2.460000,2.550000,2.260000,2.500000,2.500000,3524500
2016-02-11,2.780000,2.940000,2.600000,2.820000,2.820000,5795300
2016-02-12,2.790000,3.350000,2.740000,3.330000,3.330000,6782900
2016-02-16,3.170000,3.420000,3.090000,3.200000,3.200000,5530000
2016-02-17,3.170000,3.420000,3.170000,3.360000,3.360000,3891000
2016-02-18,3.330000,3.830000,3.300000,3.750000,3.750000,4038500
2016-02-19,3.700000,3.870000,3.520000,3.560000,3.560000,3886900
2016-02-22,3.360000,3.660000,3.350000,3.550000,3.550000,3659300
2016-02-23,3.620000,3.730000,3.390000,3.470000,3.470000,3376300
2016-02-24,3.660000,3.700000,3.400000,3.480000,3.480000,4502300
2016-02-25,3.490000,3.570000,3.360000,3.510000,3.510000,2556100
2016-02-26,3.510000,3.650000,3.410000,3.550000,3.550000,3584200
2016-02-29,3.680000,3.870000,3.640000,3.860000,3.860000,3540400
2016-03-01,3.930000,3.950000,3.680000,3.810000,3.810000,2956200
2016-03-02,3.790000,4.070000,3.700000,4.000000,4.000000,3440000
2016-03-03,4.020000,4.570000,4.010000,4.490000,4.490000,4848800
2016-03-04,4.700000,5.240000,4.420000,4.520000,4.520000,7160000
2016-03-07,4.750000,5.200000,4.750000,5.020000,5.020000,8025800
2016-03-08,5.150000,5.150000,4.570000,4.650000,4.650000,6611600
2016-03-09,4.520000,4.850000,4.300000,4.730000,4.730000,4841600
2016-03-10,4.770000,4.990000,4.750000,4.890000,4.890000,4002400
2016-03-11,4.880000,5.100000,4.780000,5.030000,5.030000,4800800
2016-03-14,5.090000,5.100000,4.840000,4.890000,4.890000,4311200
2016-03-15,4.800000,4.870000,4.670000,4.830000,4.830000,3672600
2016-03-16,4.780000,5.330000,4.750000,5.300000,5.300000,5266400
2016-03-17,5.370000,5.890000,5.180000,5.470000,5.470000,6623300
2016-03-18,5.490000,5.750000,5.390000,5.590000,5.590000,9415600
